model,accuracy,precision,recall,f1,roc_auc,cv_roc_auc,training_time,prediction_time
random_forest,0.803921568627451,0.8271604938271605,0.9178082191780822,0.8701298701298701,0.8181388757675957,0.7508133645041886,5.399633143000756,0.014109333000305924
xgboost,0.8137254901960784,0.8648648648648649,0.8767123287671232,0.870748299319728,0.7756258856872934,0.7495258726568919,1.4286240460005502,0.014636260000770562
logistic_regression,0.8333333333333334,0.8255813953488372,0.9726027397260274,0.8930817610062893,0.7458667926310817,0.7035815778551403,1.0658846099995571,0.004641548999643419
