model,accuracy,precision,recall,f1,roc_auc
random_forest,0.803921568627451,0.8271604938271605,0.9178082191780822,0.8701298701298701,0.8181388757675957
xgboost,0.8137254901960784,0.8648648648648649,0.8767123287671232,0.870748299319728,0.7756258856872934
logistic_regression,0.8333333333333334,0.8255813953488372,0.9726027397260274,0.8930817610062893,0.7458667926310817
credit_history_only,0.8333333333333334,0.8255813953488372,0.9726027397260274,0.8930817610062893,0.7276806802078413
majority_baseline,0.7156862745098039,0.7156862745098039,1.0,0.8342857142857142,0.5
